"Abbrev","Full Title","Trnsl. Title","Publ.","ISSN","New","Cover-to-cover","Book Ser"
"Discrete Math. Theor. Comput. Sci. Proc.","Discrete Mathematics & Theoretical Computer Science Proceedings","","Assoc. Discrete Math. Theor. Comput. Sci., Nancy.","1365-8050","N","N","Y"
"Discrete Optim.","Discrete Optimization","","Elsevier B. V., Amsterdam.","1572-5286","N","Y","N"
"Discuss. Math. Differ. Incl. Control Optim.","Discussiones Mathematicae. Differential Inclusions, Control and Optimization","","Univ. Zielona Gora Pr., Zielona Gora.","1509-9407","N","Y","N"
"Discuss. Math. Gen. Algebra Appl.","Discussiones Mathematicae. General Algebra and Applications","","Univ. Zielona Gora Pr., Zielona Gora.","1509-9415","N","Y","N"
"Discuss. Math. Graph Theory","Discussiones Mathematicae. Graph Theory","","Univ. Zielona Gora Pr., Zielona Gora.","1234-3099","N","Y","N"
"Discuss. Math. Probab. Stat.","Discussiones Mathematicae. Probability and Statistics","","Univ. Zielona Gora Pr., Zielona Gora.","1509-9423","N","Y","N"
"DISKI","DISKI. Dissertationen zur Kunstlichen Intelligenz","Dissertations on Artificial Intelligence","Akad. Verl. AKA GmbH, Heidelberg.","0941-5769","N","N","Y"
"Diskret. Mat.","Diskretnaya Matematika","","``Nauka'', Moscow.","0234-0860","N","Y","N"
"Diskretn. Anal. Issled. Oper.","Diskretnyi Analiz i Issledovanie Operatsii","","Izdat. Ross. Akad. Nauk Sib. Otd. Inst. Mat., Novosibirsk.","1560-7542","N","N","N"
"Diss. ETH","Dissertation ETH","","Juris, Zurich.","","Y","N","Y"
"Dissertationes Math.","Dissertationes Mathematicae","","Polish Acad. Sci. Inst. Math., Warsaw.","0012-3862","N","Y","N"
"Distrib. Comput.","Distributed Computing","","Springer, Berlin.","0178-2770","N","N","N"
"DLR-Mitteilung","DLR-Mitteilung","DLR-Report","Deutsche Forschungsanst. Luft. Raumfahrt, Cologne.","0939-298X","Y","N","Y"
"Doc. Math.","Documenta Mathematica","","Deutsche Math. Ver., Berlin.","1431-0635","N","Y","N"
"Doc. Math. (Paris)","Documents Mathematiques (Paris)","Mathematical Documents (Paris)","Soc. Math. France, Paris.","1629-4939","N","N","Y"
"Dokl. Akad. Nauk","Rossiiskaya Akademiya Nauk. Doklady Akademii Nauk","","``Nauka'', Moscow.","0869-5652","N","N","N"
"Dokl. Math.","Doklady Mathematics","","MAIK Nauka/Interperiod. Publ., Moscow.","1064-5624","N","N","N"
"Dokl. Nats. Akad. Nauk Armen.","Doklady. Natsionalnaya Akademiya Nauk Armenii. Reports. National Academy of Sciences of Armenia","","Idzat. Nats. Akad. Nauk Armen., Erevan.","0321-1339","N","N","N"
"Dokl. Nats. Akad. Nauk Belarusi","Doklady Natsionalnoi Akademii Nauk Belarusi","","Izdat. Belarus. Navuka, Minsk.","1561-8323","N","N","N"
"Dolciani Math. Exp.","The Dolciani Mathematical Expositions","","Math. Assoc. America, Washington, DC.","","N","N","Y"
"Dolomites Res. Notes Approx.","Dolomites Research Notes on Approximation","","Padova University Press, Padua.","2035-6803","N","N","N"
"Dongbei Daxue Xuebao Ziran Kexue Ban","","","","","Y","N","N"
"Dongbei Shuxue","","","","","Y","N","N"
"Dongnan Daxue Xuebao. Ziran Kexue Ban","","","","","Y","N","N"
"Dopov. Nats. Akad. Nauk Ukr. Mat. Prirodozn. Tekh. Nauki","Dopovidi Natsionalnoi Akademii Nauk Ukraini. Matematika. Prirodoznavstvo. Tekhnichni Nauki","","Vidavn. Dim "Akademperiodika", Kiev.","1025-6415","N","N","N"
"DTV Portrait","DTV Portrait","","Deutscher Taschenbuch Verlag, Munich.","","Y","N","Y"
"Duke Math. J.","Duke Mathematical Journal","","Duke Univ. Press, Durham, NC.","0012-7094","N","Y","N"
"Durham Thomas Harriot Sem.","The Durham Thomas Harriot Seminar. Occasional Paper","","Historical Assoc., London.","","Y","N","Y"
"Duxbury Adv. Ser.","Duxbury Advanced Series","","Thomson Brooks/Cole, Belmont, CA.","","Y","N","Y"
"Duxbury Adv. Ser. Statist. Decis. Sci.","The Duxbury Advanced Series in Statistics and Decision Sciences","","PWS-KENT, Boston, MA.","","Y","N","Y"
"Dyn. Contin. Discrete Impuls. Syst. Ser. A Math. Anal.","Dynamics of Continuous, Discrete & Impulsive Systems. Series A. Mathematical Analysis","","Watam Press, Waterloo, ON.","1201-3390","N","Y","N"
"Dyn. Contin. Discrete Impuls. Syst. Ser. B Appl. Algorithms","Dynamics of Continuous, Discrete & Impulsive Systems. Series B. Applications & Algorithms","","Watam Press, Waterloo, ON.","1492-8760","N","Y","N"
"Dyn. Games Appl.","Dynamic Games and Applications","","Birkhauser Boston, Inc., Cambridge, MA.","2153-0785","N","N","N"
"Dyn. Model. Econom. Econ. Finance","Dynamic Modeling and Econometrics in Economics and Finance","","Springer, Cham.","1566-0419","N","N","Y"
"Dyn. Partial Differ. Equ.","Dynamics of Partial Differential Equations","","Int. Press, Somerville, MA.","1548-159X","N","Y","N"
"Dyn. Stat. Clim. Syst.","Dynamics and Statistics of the Climate System","","Oxford Univ. Press, Oxford.","2059-6987","Y","N","N"
"Dyn. Syst.","Dynamical Systems. An International Journal","","Taylor & Francis, Abingdon.","1468-9367","N","Y","N"
"Dynam. Econom. Theory and Appl.","Dynamic Economics: Theory and Applications","","North-Holland, New York.","","Y","N","Y"
"Dynam. Systems Appl.","Dynamic Systems and Applications","","Dynamic, Atlanta, GA.","1056-2176","N","Y","N"
"EAA Ser.","European Actuarial Academy (EAA) Series","","Springer, Cham.","1869-6929","N","N","Y"
"EAI/Springer Innov. Commun. Comput.","EAI/Springer Innovations in Communication and Computing","","Springer, Cham.","2522-8595","Y","N","Y"
"Early Sci. Med.","Early Science and Medicine. A Journal for the Study of Science, Technology and Medicine in the Pre-modern Period","","Brill, Leiden.","1383-7427","N","N","N"
"East Asian J. Appl. Math.","East Asian Journal on Applied Mathematics","","Glob. Sci. Pr., Hong Kong.","2079-7362","N","N","N"
"East-West J. Math.","East-West Journal of Mathematics","","East-West J. Math., Bangkok.","1513-489X","N","Y","N"
"Ec. Ete Probab. St.-Flour","Ecole d'Ete de Probabilites de Saint-Flour","Saint-Flour Probability Summer School","Springer, Heidelberg.","0721-5363","N","N","Y"
"Eco-Effic. Ind. Sci.","Eco-Efficiency in Industry and Science","","Springer, Dordrecht.","1389-6970","Y","N","Y"
"Econ. Inf. Commun. Entertain.","The Economics of Information, Communication and Entertainment","","Springer, New York.","1868-0453","N","N","Y"
"Econ. Issues Probl. Perspect.","Economic Issues, Problems and Perspectives","","Nova Sci. Publ., New York.","","N","N","Y"
"Econ. Sci. Technol. Innov.","Economics of Science, Technology and Innovation","","Kluwer Acad. Publ., Boston, MA.","","Y","N","Y"
"Econ. Soc. Stud. Natl. Inst. Econ. Soc. Res.","Economic and Social Studies. National Institute of Economic and Social Research","","Cambridge Univ. Press, Cambridge.","","Y","N","Y"
"Econ. Stud. Inequal. Soc. Exclusion Well-Being","Economic Studies in Inequality, Social Exclusion and Well-Being","","Springer, New York.","2364-107X","Y","N","Y"
"Econ. Theory Bull.","Economic Theory Bulletin","","Springer, Berlin.","2196-1085","N","N","N"
"Econom. J.","The Econometrics Journal","","Wiley-Blackwell, Oxford.","1368-4221","N","N","N"
"Econom. Lett.","Economics Letters","","Elsevier Sci. B. V., Amsterdam.","0165-1765","N","N","N"
"Econom. Soc. Monogr.","Econometric Society Monographs","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Econom. Stat.","Econometrics and Statistics","","Elsevier Sci. B. V., Amsterdam.","2452-3062","N","N","N"
"Econom. Theory","Economic Theory","","Springer, Heidelberg.","0938-2259","N","N","N"
"Econom. Tinbergen Inst. Lect.","Econometric and Tinbergen Institutes Lectures","","Princeton Univ. Press, Princeton, NJ.","","N","N","Y"
"Econometric Rev.","Econometric Reviews","","Taylor & Francis, Philadelphia, PA.","0747-4938","N","N","N"
"Econometric Theory","Econometric Theory","","Cambridge Univ. Press, New York.","0266-4666","N","N","N"
"Econometrica","Econometrica. Journal of the Econometric Society","","Econometric Soc., New York.","0012-9682","N","N","N"
"Economica (N.S.)","Economica. New Series","","London Sch. Econ. Polit. Sci., London.","0013-0427","N","N","N"
"Ed. Angew.","Edition Angewandte","Applied Edition","Springer, Vienna.","1866-248X","N","N","Y"
"Ed. Belin","Aux Editions Belin","Belin Editions","Belin, Paris.","","Y","N","Y"
"Ed. Gutenbergplatz Leipz. (EAGLE)","Edition am Gutenbergplatz Leipzig (EAGLE)","Gutenbergplatz Leipzig Edition (EAGLE)","Ed. Gutenbergplatz Leipz. (EAG.LE), Leipzig.","","N","N","Y"
"Edinb. Adv. Textb. Linguist.","Edinburgh Advanced Textbooks in Linguistics","","Edinburgh Univ. Press, Edinburgh.","","N","N","Y"
"Educ. Form.","Education et Formation","Education and Training","Presses Univ. France, Paris.","","Y","N","Y"
"Einstein Stud.","Einstein Studies","","Birkhauser/Springer, New York.","2381-5833","N","N","Y"
"Ekonom. Upravl.","Ekonomika i Upravlenie","Economics and Control","``Ekonomika'', Moscow.","","Y","N","Y"
"Electr. Eng. Appl. Signal Process. Ser.","Electrical Engineering and Applied Signal Processing Series","","CRC Press, Boca Raton, FL.","","Y","N","Y"
"Electr. Engrg. Commun. Signal Process. Ser.","Electrical Engineering Communications and Signal Processing Series","","Computer Sci. Press, Rockville, MD.","","Y","N","Y"
"Electromagn. Wirel. Radar Microw.","Electromagnetics, Wireless, Radar, and Microwaves","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Electron. Commun. Probab.","Electronic Communications in Probability","","Inst. Math. Statist., Bethesda, MD.","1083-589X","N","Y","N"
"Electron. Electric. Engrg. Res. Stud. Electromagnet. Appl. Ser.","Electronic & Electrical Engineering Research Studies: Electromagnetic Applications Series","","Res. Stud. Press, Chichester.","","Y","N","Y"
"Electron. J. Appl. Stat. Anal.","Electronic Journal of Applied Statistical Analysis","","Univ. Salento, Coord. SIBA, Lecce.","2070-5948","N","N","N"
"Electron. J. Bound. Elem.","Electronic Journal of Boundary Elements","","Sch. Comm. Cent. (SCC), New Brunswick, NJ.","1542-3891","N","N","N"
"Electron. J. Combin.","Electronic Journal of Combinatorics","","Electron. J. Combin., San Marcos, CA.","1077-8926","N","Y","N"
"Electron. J. Differ. Equ. Conf.","Electronic Journal of Differential Equations Conference","","Texas State Univ., San Marcos, TX.","","N","N","Y"
"Electron. J. Differential Equations","Electronic Journal of Differential Equations","","Texas State Univ.--San Marcos, Dept. Math., San Marcos, TX.","1072-6691","N","Y","N"
"Electron. J. Graph Theory Appl. (EJGTA)","Electronic Journal of Graph Theory and Applications. EJGTA","","Indonesian Comb. Soc., Bandung.","2338-2287","N","Y","N"
"Electron. J. Linear Algebra","Electronic Journal of Linear Algebra","","Internat. Linear Algebra Soc. (ILAS), Haifa.","1081-3810","N","Y","N"
"Electron. J. Math. Anal. Appl.","Electronic Journal of Mathematical Analysis and Applications. EJMAA","","Fract. Calc. Appl. Group, Alexandria.","2090-729X","N","N","N"
"Electron. J. Probab.","Electronic Journal of Probability","","Inst. Math. Statist., Bethesda, MD.","1083-6489","N","Y","N"
"Electron. J. Qual. Theory Differ. Equ.","Electronic Journal of Qualitative Theory of Differential Equations","","Electron. J. Qual. Theory Differ. Equ., Szeged.","1417-3875","N","Y","N"
"Electron. J. Stat.","Electronic Journal of Statistics","","Inst. Math. Statist., Beachwood, OH.","1935-7524","N","Y","N"
"Electron. Magn. Photonic Mater. Div. (EMPMD) Monogr. Ser.","Electronic, Magnetic and Photonic Materials Division (EMPMD) Monograph Series","","Miner. Met. Mater. Soc. (TMS), Warrendale, PA.","","Y","N","Y"
"Electron. Notes Discrete Math.","Electronic Notes in Discrete Mathematics","","Elsevier Sci. B. V., Amsterdam.","1571-0653","N","N","Y"
"Electron. Notes Theor. Comput. Sci.","Electronic Notes in Theoretical Computer Science","","Elsevier Sci. B. V., Amsterdam.","1571-0661","N","N","Y"
"Electron. Proc. Theor. Comput. Sci. (EPTCS)","Electronic Proceedings in Theoretical Computer Science (EPTCS)","","EPTCS, [place of publication not identified].","2075-2180","N","N","Y"
"Electron. Res. Announc. Math. Sci.","Electronic Research Announcements in Mathematical Sciences","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","1935-9179","N","Y","N"
"Electron. Texts Engrs. Sci.","Electronics Texts for Engineers and Scientists","","Cambridge Univ. Press, Cambridge.","","Y","N","Y"
"Electron. Trans. Numer. Anal.","Electronic Transactions on Numerical Analysis","","Kent State Univ. Lib., Kent, OH.","1068-9613","N","Y","N"
"Electron. Workshops Comput.","Electronic Workshops in Computing","","Springer, London.","","Y","N","Y"
"Elem. Math.","Elemente der Mathematik","","Eur. Math. Soc., Zurich.","0013-6018","N","Y","N"
"Ellis Horwood Ser. Phys. Appl.","Ellis Horwood Series in Physics and its Applications","","Horwood, New York.","","Y","N","Y"
"Elsevier Insights","Elsevier Insights","","Elsevier, Amsterdam.","","N","N","Y"
"Elsevier Oceanogr. Ser.","Elsevier Oceanography Series","","Elsevier, Amsterdam.","","Y","N","Y"
"ELTEX Studientexte Elektrotech.","ELTEX Studientexte Elektrotechnik","ELTEX Study Texts for Electrotechnics","Huthig, Heidelberg.","","Y","N","Y"
"Emerg. Complex. Comput.","Emergence, Complexity and Computation","","Springer, Cham.","2194-7287","N","N","Y"
"EMS Monogr. Math.","EMS Monographs in Mathematics","","Eur. Math. Soc., Zurich.","2523-5192","N","N","Y"
"EMS Ser. Congr. Rep.","EMS Series of Congress Reports","","Eur. Math. Soc., Zurich.","2523-515X","N","N","Y"
"EMS Ser. Ind. Appl. Math.","EMS Series in Industrial and Applied Mathematics","","Eur. Math. Soc., Zurich.","2523-5087","N","N","Y"
"EMS Ser. Lect. Math.","EMS Series of Lectures in Mathematics","","Eur. Math. Soc., Zurich.","2523-5176","N","N","Y"
"EMS Surv. Math. Sci.","EMS Surveys in Mathematical Sciences","","Eur. Math. Soc., Zurich.","2308-2151","N","N","N"
"EMS Textbk. Math.","EMS Textbooks in Mathematics","","Eur. Math. Soc., Zurich.","","N","N","Y"
"EMS Tracts Math.","EMS Tracts in Mathematics","","Eur. Math. Soc., Zurich.","","N","N","Y"
"Encyclopaedia Math. Sci.","Encyclopaedia of Mathematical Sciences","","Springer, Heidelberg.","0938-0396","N","N","Y"
"Encyclopedia Math. Appl.","Encyclopedia of Mathematics and its Applications","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Energy Syst.","Energy Systems","","Springer, Cham.","1867-8998","N","N","Y"
"Energy Syst. Electr. Eng.","Energy Systems in Electrical Engineering","","Springer, Singapore.","2199-8582","Y","N","Y"
"Eng. Anal. Bound. Elem.","Engineering Analysis with Boundary Elements","","Elsevier Ltd, Oxford.","0955-7997","N","N","N"
"Eng. Mater.","Engineering Materials","","Springer, Cham.","1612-1317","N","N","Y"
"Eng. Mater. Process.","Engineering Materials and Processes","","Springer, Cham.","1619-0181","N","N","Y"
"Eng. Optim.","Engineering Optimization","","Taylor & Francis, Abingdon.","0305-215X","N","N","N"
"Eng. Syst. Sustain. Ser.","Engineering Systems and Sustainability Series","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Enke Reihe AO[A]","Enke Reihe zur AO[A]","Enke Series on AO[A]","Enke, Stuttgart.","","Y","N","Y"
"Ensaios Mat.","Ensaios Matematicos","Mathematical Surveys","Soc. Brasil. Mat., Rio de Janeiro.","0103-8141","N","N","Y"
"Enseign. Assiste Ordinateur","Enseignement Assiste par Ordinateur","Computer-Aided Instruction","Presses Polytech. Romandes, Lausanne.","","Y","N","Y"
"Enseign. Math.","Enseignement des Mathematiques","The Teaching of Mathematics","Presses Polytech. Univ. Romandes, Lausanne.","1269-7842","N","N","Y"
"Enseign. Math.","L'Enseignement Mathematique","","Eur. Math. Soc., Zurich.","0013-8584","N","Y","N"
"Entropy","Entropy. An International and Interdisciplinary Journal of Entropy and Information Studies","","MDPI, Basel.","1099-4300","N","N","N"
"Entropy Prod. Everyday Live","Entropy Production in Everyday Live","","Springer, Berlin.","","Y","N","Y"
"Environ. Ecol. Stat.","Environmental and Ecological Statistics","","Springer, New York.","1352-8505","N","N","N"
"Environmental Monogr. Sympos.","Environmental Monographs & Symposia","","Wiley, Chichester.","","Y","N","Y"
"Environmetrics","Environmetrics","","Wiley, Chichester.","1180-4009","N","N","N"
"EPiC Ser. Comput.","EPiC Series in Computing","","EasyChair, Manchester.","2398-7340","Y","N","Y"
"Epijournal Geom. Algebrique","Epijournal de Geometrie Algebrique. EPIGA","","Epijournal de Geom. Algebrique, [place of publication not identified].","2491-6765","Y","N","N"
"Episteme","Episteme","","Presses Univ. Provence, Aix-en-Provence.","1777-4144","N","N","Y"
"Epistemologia","Epistemologia","","FrancoAngeli, Milan.","","N","N","Y"
"Ergeb. Math. Grenzgeb. (3)","Ergebnisse der Mathematik und ihrer Grenzgebiete. 3. Folge. A Series of Modern Surveys in Mathematics","Results in Mathematics and Related Areas. 3rd Series. A Series of Modern Surveys in Mathematics","Springer, Cham.","0071-1136","N","N","Y"
"Ergodic Theory Dynam. Systems","Ergodic Theory and Dynamical Systems","","Cambridge Univ. Press, Cambridge.","0143-3857","N","Y","N"
"Erkenntnis","Erkenntnis. An International Journal of Analytic Philosophy","","Springer, Dordrecht.","0165-0106","N","N","N"
"Ertrage der Forschung","Ertrage der Forschung","Research Results","Wissensch. Buchgesellschaft, Darmstadt.","","Y","N","Y"
"ESAIM Control Optim. Calc. Var.","ESAIM. Control, Optimisation and Calculus of Variations","","EDP Sci., Les Ulis.","1292-8119","N","Y","N"
"ESAIM Math. Model. Numer. Anal.","ESAIM. Mathematical Modelling and Numerical Analysis","","EDP Sci., Les Ulis.","0764-583X","N","Y","N"
"ESAIM Probab. Stat.","ESAIM. Probability and Statistics","","EDP Sci., Les Ulis.","1292-8100","N","Y","N"
"ESAIM Proc.","ESAIM Proceedings","","EDP Sci., Les Ulis.","1270-900X","N","N","Y"
"ESAIM Proc. Surveys","ESAIM: Proceedings and Surveys","","EDP Sci., Les Ulis.","2267-3059","N","N","Y"
"Esercit. Mat.","Esercitazioni di Matematica","Mathematical Exercises","CEDAM, Padua.","","Y","N","Y"
"Esquisses Math.","Esquisses Mathematiques","Mathematical Sketches","Univ. Picardie, Amiens.","","Y","N","Y"
"Essays Cogn. Psych.","Essays in Cognitive Psychology","","Erlbaum, Hillsdale, NJ.","0959-4479","Y","N","Y"
"Essence Comput. Ser.","The Essence of Computing Series","","Prentice Hall, London.","","Y","N","Y"
"Essent. Textb. Math.","Essential Textbooks in Mathematics","","World Sci. Publ., Hackensack, NJ.","2059-7657","Y","N","Y"
"Estadistica","Estadistica. Revista Semestral del Instituto Interamericano de Estadistica","","IASI, Panama.","0014-1135","N","N","N"
"Estudos","Estudos","Studies","Fundacao Calouste Gulbenkian, Lisbon.","","Y","N","Y"
"ETH/TH","ETH/TH","","Eidgenossische Tech. Hochschule, Zurich.","","Y","N","Y"
"Eur. Actuar. J.","European Actuarial Journal","","Springer, Berlin.","2190-9733","N","N","N"
"Eur. Consort. Math. Ind. (Berl.)","European Consortium for Mathematics in Industry (Berlin)","","Springer, Berlin.","","N","N","Y"
"Eur. J. Comput. Mech.","European Journal of Computational Mechanics","","Taylor & Francis, Abingdon.","1779-7179","N","N","N"
"Eur. J. Control","European Journal of Control","","Elsevier B. V., Amsterdam.","0947-3580","N","N","N"
"Eur. J. Math.","European Journal of Mathematics","","Springer, Cham.","2199-675X","N","Y","N"
"Eur. J. Mech. A Solids","European Journal of Mechanics. A. Solids","","Elsevier Sci. B. V., Amsterdam.","0997-7538","N","N","N"
"Eur. J. Mech. B Fluids","European Journal of Mechanics. B. Fluids","","Elsevier Sci. B. V., Amsterdam.","0997-7546","N","N","N"
"Eur. J. Philos. Sci.","European Journal for Philosophy of Science","","Springer, Dordrecht.","1879-4912","N","N","N"
"Eur. J. Pure Appl. Math.","European Journal of Pure and Applied Mathematics","","European Journal of Pure and Applied Mathematics, Istanbul.","1307-5543","N","Y","N"
"Eur. Math. Soc. Newsl.","European Mathematical Society. Newsletter","","Eur. Math. Soc., Zurich.","1027-488X","N","N","N"
"Eur. Mem. Reihe I Stud.","Europaea Memoria. Reihe I. Studien","European Recollection. Series I. Studies","Olms, Hildesheim.","1613-7388","N","N","Y"
"Eur. Phys. J. B","The European Physical Journal B. Condensed Matter and Complex Systems","","Springer, Berlin.","1434-6028","N","N","N"
"Eur. Stud. Philos. Sci.","European Studies in Philosophy of Science","","Springer, Cham.","2365-4228","Y","N","Y"
"Eurasian Math. J.","Eurasian Mathematical Journal","","L N. Gumilyov Eurasian Nat. Univ., Astana.","2077-9879","N","Y","N"
"Eureka Basic","Eureka Basic","","Aracne, Rome.","","Y","N","Y"
"EURO Adv. Tutor. Oper. Res.","EURO Advanced Tutorials on Operational Research","","Springer, Cham.","2364-687X","N","N","Y"
"EURO J. Comput. Optim.","EURO Journal on Computational Optimization","","Springer, Berlin.","2192-4406","N","N","N"
"Eurocourses Comput. Inform. Sci.","Eurocourses. Computer and Information Science","","Kluwer Acad. Publ., Dordrecht.","","Y","N","Y"
"European J. Appl. Math.","European Journal of Applied Mathematics","","Cambridge Univ. Press, New York.","0956-7925","N","N","N"
"European J. Combin.","European Journal of Combinatorics","","Elsevier Ltd, Oxford.","0195-6698","N","Y","N"
"European J. Oper. Res.","European Journal of Operational Research","","Elsevier Sci. B. V., Amsterdam.","0377-2217","N","N","N"
"European Univ. Inst. Ser. D: Econom.","European University Institute. Series D: Economics","","de Gruyter, Berlin.","","Y","N","Y"
"Evol. Econ. Soc. Complex. Sci.","Evolutionary Economics and Social Complexity Science","","Springer, Tokyo.","2198-4204","N","N","Y"
"Evol. Equ. Control Theory","Evolution Equations and Control Theory","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","2163-2480","N","Y","N"
"Evrika","Evrika","Eureka","Molod. Gvard., Moscow.","","Y","N","Y"
"Ex-Aula","Ex-Aula","","Prensas Cienc., Mexico.","","Y","N","Y"
"Excursions Rec. Math. Ser.","Excursions in Recreational Mathematics Series","","Baywood, Farmingdale, NY.","","Y","N","Y"
"Exempla Logica","Exempla Logica","","Francke, Munich.","","Y","N","Y"
"Exp. Math.","Experimental Mathematics","","Taylor & Francis, Philadelphia, PA.","1058-6458","N","Y","N"
"Explicit Description Language Automat. Process. Text","Explicit Description of Language and Automatic Processing of Text","","Univ. Karlova, Prague.","","Y","N","Y"
"Explor.: Cours Contrib. Sci. Ed.","Exploration: Cours et Contributions pour les Sciences de l'Education","Exploration: Courses and Contributions in the Education Sciences","Peter Lang, Bern.","","Y","N","Y"
"Explorationen","Explorationen","Explorations","Peter Lang, Bern.","0721-3700","Y","N","Y"
"Expo. Math.","Expositiones Mathematicae","","Elsevier, Munich.","0723-0869","N","Y","N"
"Extracta Math.","Extracta Mathematicae","","Univ. Extremadura, Badajoz.","0213-8743","N","N","N"
"Extremes","Extremes. Statistical Theory and Applications in Science, Engineering and Economics","","Springer, Norwell, MA.","1386-1999","N","Y","N"
"Exxon Monogr.","Exxon Monographs","","Wiley, New York.","","Y","N","Y"
"Fachber. Simul.","Fachberichte Simulation","Technical Reports on Simulation","Springer, Berlin.","","Y","N","Y"
"Fachbuchreihe Stud. Fortbild. Prax.","Fachbuchreihe fur Studium Fortbildung Praxis","Textbook Series for Study, Continuing Education and Practice","VVF, Munich.","","Y","N","Y"
"Facta Univ. Ser. Autom. Control Robot.","Facta Universitatis. Series Automatic Control and Robotics","","Univ. Nis, Nis.","1820-6417","N","N","N"
"Facta Univ. Ser. Math. Inform.","Facta Universitatis. Series: Mathematics and Informatics","","Univ. Nis, Nis.","0352-9665","N","Y","N"
"Fasc. Math.","Polytechnica Posnaniensis. Institutum Mathematicum. Fasciculi Mathematici","","Politech. Poznanska, Poznan.","0044-4413","N","Y","N"
"Fen Derg.","Fen Dergisi. Journal of Science","","Suleyman Demicel Univ., Isparta.","1306-7575","N","N","N"
"Fenetre Cours","Fenetre sur Cours","Course Outlines","Cujas, Paris.","","Y","N","Y"
"FIAS Interdiscip. Sci. Ser.","FIAS Interdisciplinary Science Series","","Springer, Cham.","2522-8900","N","N","Y"
"Fibonacci Quart.","The Fibonacci Quarterly. The Official Journal of the Fibonacci Association","","Fibonacci Assoc., Aurora, SD.","0015-0517","N","N","N"
"Fields Inst. Commun.","Fields Institute Communications","","Springer, New York.","1069-5265","N","N","Y"
"Fields Inst. Monogr.","Fields Institute Monographs","","Springer, New York.","1069-5273","N","N","Y"
"Filomat","Univerzitet u Nisu. Prirodno-Matematicki Fakultet. Filomat","","Univ. Nis, Fac. Sci. Math., Nis.","0354-5180","N","N","N"
"Filosofia (London)","Filosofia---Filosofia Contemporanea e Historia da Filosofia (London)","Philosophy---Contemporary Philosophy and History of Philosophy(London)","Coll. Publ., London.","","Y","N","Y"
"Financ. Eng. Explain.","Financial Engineering Explained","","Palgrave Macmillan, Basingstoke.","","N","N","Y"
"Financ. Math.","Financial Mathematics","","SIAM, Philadelphia, PA.","","N","N","Y"
"Financ. Math. Appl.","Financial Mathematics and Applications","","Ilirias Publ., Pristina.","2217-7795","Y","N","N"
"Finance Stoch.","Finance and Stochastics","","Springer, Berlin.","0949-2984","N","N","N"
"Finite Elem. Anal. Des.","Finite Elements in Analysis and Design","","Elsevier, Amsterdam.","0168-874X","N","N","N"
"Finite Fields Appl.","Finite Fields and their Applications","","Elsevier, Inc., Amsterdam.","1071-5797","N","Y","N"
"Fixed Point Theory","Fixed Point Theory. An International Journal on Fixed Point Theory, Computation and Applications","","House Book Sci., Cluj-Napoca.","1583-5022","N","Y","N"
"Fixed Point Theory Appl.","Fixed Point Theory and Applications","","Springer, Berlin.","1687-1812","N","N","N"
"Fiz. Plazmy","Fizika Plazmy","Plasma Physics","Energoatomizdat, Moscow.","","Y","N","Y"
"Fiz.-Mat. Nasled.","Fiziko-Matematicheskoe Nasledie","Physics-Mathematics Heritage","Kn. Dom "LIBROKOM", Moscow.","","Y","N","Y"
"Fluid Dyn.","Fluid Dynamics","","Pleiades Publishing, Ltd., Road Town.","0015-4628","N","N","N"
"Fluid Dyn. Res.","Fluid Dynamics Research. An International Journal","","IOP, Bristol.","0169-5983","N","N","N"
"Fluid Mech. Appl.","Fluid Mechanics and its Applications","","Springer, Cham.","0926-5112","N","N","Y"
"FMDA Abt. II: Monogr.","Forschungen und Materialien zur Deutschen Aufklarung (FMDA). Abteilung II: Monographien","Research and Materials on the German Enlightenment. Division II: Monographs","Frommann-Holzboog, Stuttgart.","","Y","N","Y"
"Focus Autom. Control Ser.","Focus. Automation and Control Series","","Wiley, Hoboken, NJ.","","N","N","Y"
"Focus Ser. Digit. Signal Image Process.","Focus Series in Digital Signal and Image Processing","","Wiley, Hoboken, NJ.","","N","N","Y"
"Focus Ser. Finance Bus. Manag.","Focus Series in Finance, Business and Management","","Wiley, Hoboken, NJ.","","N","N","Y"
"Folia Math.","Folia Mathematica","","Univ. Lodz, Fac. Math., Lodz.","0208-6204","N","Y","N"
"Fond. CIME/CIME Found. Subser.","Fondazione CIME/CIME Foundation Subseries","","Fondazione C.I.M.E., Florence.","","N","N","Y"
"Form. Asp. Comput.","Formal Aspects of Computing","","Springer, Surrey.","0934-5043","N","N","N"
"Forma","Forma","","SCIPRESS, Tokyo.","0911-6036","N","N","N"
"Forsch. Inst. Realienkd. Mittelalt. Fruhen Neuzeit Diskuss. Mater.","Forschungen des Instituts fur Realienkunde des Mittelalters und der Fruhen Neuzeit. Diskussionen und Materialien","Studies of the Institute for Natural Sciences of the Middle Ages and the Early Modern Era. Discussions and Materials","Osterreich. Akad. Wiss., Vienna.","","Y","N","Y"
