"Abbrev","Full Title","Trnsl. Title","Publ.","ISSN","New","Cover-to-cover","Book Ser"
"Int. Math. Res. Not. IMRN","International Mathematics Research Notices. IMRN","","Oxford Univ. Press, Cary, NC.","1073-7928","N","Y","N"
"Int. Ser. Actuar. Sci.","International Series on Actuarial Science","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Int. Ser. Quant. Mark.","International Series in Quantitative Marketing","","Springer, New York.","0923-6716","N","N","Y"
"Int. Ser. Quant. Mark.","International Series in Quantitative Marketing (ISQM)","","Kluwer Acad. Publ., Boston, MA.","","Y","N","Y"
"Int. Stat. Rev.","International Statistical Review. Revue Internationale de Statistique","","Internat. Statist. Inst., The Hague.","0306-7734","N","N","N"
"Int. Stud. Philos. Sci.","International Studies in the Philosophy of Science","","Routledge Journals, Taylor & Francis, Ltd., Abingdon.","0269-8595","N","N","N"
"Int. Trans. Oper. Res.","International Transactions in Operational Research","","Wiley-Blackwell, Oxford.","0969-6016","N","N","N"
"Integers","Integers. Electronic Journal of Combinatorial Number Theory","","Integers, Carrollton, GA.","1553-1732","N","Y","N"
"Integr. Ser. Inf. Syst.","Integrated Series in Information Systems","","Springer, New York.","1571-0270","N","N","Y"
"Integral Equations Operator Theory","Integral Equations and Operator Theory","","Birkhauser Verlag, Basel.","0378-620X","N","Y","N"
"Integral Transforms Spec. Funct.","Integral Transforms and Special Functions. An International Journal","","Taylor & Francis, Abingdon.","1065-2469","N","Y","N"
"Intell. Syst. Control Autom. Sci. Eng.","Intelligent Systems, Control and Automation: Science and Engineering","","Springer, Cham.","2213-8986","N","N","Y"
"Intell. Syst. Ref. Libr.","Intelligent Systems Reference Library","","Springer, Cham.","1868-4394","N","N","Y"
"Interact. Mech. Math.","Interaction of Mechanics and Mathematics","","Springer, Cham.","1860-6245","N","N","Y"
"Interdiscip. Appl. Math.","Interdisciplinary Applied Mathematics","","Springer, Cham.","0939-6047","N","N","Y"
"Interdiscip. Inform. Sci.","Interdisciplinary Information Sciences","","Tohoku Univ., Sendai.","1340-9050","N","N","N"
"Interdiscip. Math. Sci.","Interdisciplinary Mathematical Sciences","","World Sci. Publ., Hackensack, NJ.","1793-1355","N","N","Y"
"Interdiscip. Stud. Econ. Manag.","Interdisciplinary Studies in Economics and Management","","Springer, Vienna.","1615-7362","Y","N","Y"
"Interdiscip. Stud. Nat. Math.","Interdisciplinary Studies on the Nature of Mathematics","","LINCOM Europa, Munich.","","Y","N","Y"
"Interdiscip. Systems Res.","Interdisciplinary Systems Research","","Birkhauser, Basel.","","Y","N","Y"
"Interfaces Free Bound.","Interfaces and Free Boundaries. Mathematical Analysis, Computation and Applications","","Eur. Math. Soc., Zurich.","1463-9963","N","Y","N"
"Internat. Appl. Mech.","International Applied Mechanics","","Springer, New York.","1063-7095","N","N","N"
"Internat. Cryogenics Monogr. Ser.","The International Cryogenics Monograph Series","","Plenum, New York.","","Y","N","Y"
"Internat. Econom. Rev.","International Economic Review","","Univ. Pennsylvania, Philadelphia, PA.","0020-6598","N","N","N"
"Internat. Geophys. Ser.","International Geophysics Series","","Elsevier/Academic Press, Amsterdam.","","N","N","Y"
"Internat. J. Adapt. Control Signal Process.","International Journal of Adaptive Control and Signal Processing","","Wiley, Chichester.","0890-6327","N","N","N"
"Internat. J. Algebra Comput.","International Journal of Algebra and Computation","","World Sci. Publ., Singapore.","0218-1967","N","Y","N"
"Internat. J. Approx. Reason.","International Journal of Approximate Reasoning","","Elsevier Sci. B. V., Amsterdam.","0888-613X","N","N","N"
"Internat. J. Bifur. Chaos Appl. Sci. Engrg.","International Journal of Bifurcation and Chaos in Applied Sciences and Engineering","","World Sci. Publ., Singapore.","0218-1274","N","N","N"
"Internat. J. Comput. Geom. Appl.","International Journal of Computational Geometry & Applications","","World Sci. Publ., Singapore.","0218-1959","N","Y","N"
"Internat. J. Control","International Journal of Control","","Taylor & Francis, Abingdon.","0020-7179","N","N","N"
"Internat. J. Engrg. Sci.","International Journal of Engineering Science","","Elsevier Ltd, Oxford.","0020-7225","N","N","N"
"Internat. J. Found. Comput. Sci.","International Journal of Foundations of Computer Science","","World Sci. Publ., Singapore.","0129-0541","N","N","N"
"Internat. J. Game Theory","International Journal of Game Theory","","Springer, Heidelberg.","0020-7276","N","N","N"
"Internat. J. Math.","International Journal of Mathematics","","World Sci. Publ., Singapore.","0129-167X","N","Y","N"
"Internat. J. Math. Ed. Sci. Tech.","International Journal of Mathematical Education in Science and Technology","","Taylor & Francis, Abingdon.","0020-739X","N","N","N"
"Internat. J. Modern Phys. A","International Journal of Modern Physics A. Particles and Fields. Gravitation. Cosmology","","World Sci. Publ., Singapore.","0217-751X","N","N","N"
"Internat. J. Modern Phys. B","International Journal of Modern Physics B","","World Sci. Publ., Singapore.","0217-9792","N","N","N"
"Internat. J. Modern Phys. C","International Journal of Modern Physics C. Computational Physics and Physical Computation","","World Sci. Publ., Singapore.","0129-1831","N","N","N"
"Internat. J. Modern Phys. D","International Journal of Modern Physics. D. Gravitation, Astrophysics, Cosmology","","World Sci. Publ., Singapore.","0218-2718","N","N","N"
"Internat. J. Numer. Methods Engrg.","International Journal for Numerical Methods in Engineering","","Wiley, Chichester.","0029-5981","N","N","N"
"Internat. J. Numer. Methods Fluids","International Journal for Numerical Methods in Fluids","","Wiley, Chichester.","0271-2091","N","N","N"
"Internat. J. Numer. Methods Heat Fluid Flow","International Journal of Numerical Methods for Heat & Fluid Flow","","Emerald Group Publ, Ltd., Bingley.","0961-5539","N","N","N"
"Internat. J. Robust Nonlinear Control","International Journal of Robust and Nonlinear Control","","Wiley, Chichester.","1049-8923","N","N","N"
"Internat. J. Systems Sci.","International Journal of Systems Science. Principles and Applications of Systems and Integration","","Taylor & Francis, Abingdon.","0020-7721","N","N","N"
"Internat. J. Theoret. Phys.","International Journal of Theoretical Physics","","Springer, New York.","0020-7748","N","N","N"
"Internat. J. Uncertain. Fuzziness Knowledge-Based Systems","International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems","","World Sci. Publ., Singapore.","0218-4885","N","N","N"
"Internat. Ser. Appl. Systems Anal.","International Series on Applied Systems Analysis","","Wiley, Chichester.","","Y","N","Y"
"Internat. Ser. Monogr. Phys.","International Series of Monographs on Physics","","Oxford Univ. Press, Oxford.","","N","N","Y"
"Internat. Ser. Numer. Math.","International Series of Numerical Mathematics","","Birkhauser/Springer, Cham.","0373-3149","N","N","Y"
"Internat. Ser. Oper. Res. Management Sci.","International Series in Operations Research & Management Science","","Springer, Cham.","0884-8289","N","N","Y"
"Internat. Ser. Pure Appl. Phys.","International Series in Pure and Applied Physics","","McGraw-Hill, New York.","","Y","N","Y"
"Internat. Ser. Systems Control","International Series on Systems and Control","","Pergamon, Oxford.","","Y","N","Y"
"Internat. Stud. Econom. Model.","International Studies in Economic Modelling","","Chapman & Hall, London.","","Y","N","Y"
"Internat. Trends Manufacturing Tech.","International Trends in Manufacturing Technology","","IFS, Kempston.","","Y","N","Y"
"Internat. Union Cryst. Cryst. Sympos.","International Union of Crystallography Crystallographic Symposia","","Oxford Univ. Press, New York.","","Y","N","Y"
"Internet Math.","Internet Mathematics","","Internet Math., [place of publication not identified].","1944-9488","N","Y","N"
"Invariant Theory Algebr. Transform. Groups","Invariant Theory and Algebraic Transformation Groups","","Springer, Berlin.","","N","N","Y"
"Invent. Math.","Inventiones Mathematicae","","Springer, Berlin.","0020-9910","N","Y","N"
"Inverse Ill-posed Probl. Ser.","Inverse and Ill-posed Problems Series","","De Gruyter, Berlin.","1381-4524","N","N","Y"
"Inverse Probl. Imaging","Inverse Problems and Imaging","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","1930-8337","N","Y","N"
"Inverse Probl. Sci. Eng.","Inverse Problems in Science and Engineering","","Taylor & Francis, Abingdon.","1741-5977","N","N","N"
"Inverse Problems","Inverse Problems. An International Journal on the Theory and Practice of Inverse Problems, Inverse Methods and Computerized Inversion of Data","","Inst. Phys., Bristol.","0266-5611","N","Y","N"
"Investigacion Oper.","Investigacion Operacional","","Univ. Habana, Dept. Mat. Apl., Havana.","0257-4306","N","N","N"
"Involve","Involve. A Journal of Mathematics","","Math. Sci. Publ., Berkeley, CA.","1944-4176","N","Y","N"
"IOP Concise Phys.","IOP Concise Physics","","Morgan & Claypool Publ., San Rafael, CA.","2054-7307","N","N","Y"
"IOP Expand. Phys.","IOP Expanding Physics","","IOP, Bristol.","2053-2563","N","N","Y"
"IOP Short Meet. Ser.","IOP Short Meetings Series","","Inst. Phys., Bristol.","","Y","N","Y"
"IPOL J. Image Process. Online","IPOL Journal. Image Processing Online","","IPOL J. Image Process. Online, Cachan.","2105-1232","N","N","N"
"Iran. J. Fuzzy Syst.","Iranian Journal of Fuzzy Systems","","Univ. Sistan and Baluchistan, Zahedan.","1735-0654","N","N","N"
"Iran. J. Math. Sci. Inform.","Iranian Journal of Mathematical Sciences and Informatics","","ACECR. Acad. Cent. Educ., Cult. Res., Tehran.","1735-4463","N","N","N"
"Iran. J. Sci. Technol. Trans. A Sci.","Iranian Journal of Science and Technology. Transaction A. Science","","Springer, Berlin.","1028-6276","N","N","N"
"Irish Math. Soc. Bull.","Irish Mathematical Society Bulletin","","Irish Math. Soc., Maynooth.","0791-5578","N","N","N"
"IRMA Lect. Math. Theor. Phys.","IRMA Lectures in Mathematics and Theoretical Physics","","Eur. Math. Soc., Zurich.","","N","N","Y"
"Isis","Isis. An International Review Devoted to the History of Science and its Cultural Influences","","Univ. Chicago Press, Chicago, IL.","0021-1753","N","N","N"
"Ispra Courses Materials, Engrg. Mech. Sci.","Ispra Courses on Materials, Engineering and Mechanical Science","","Reidel, Dordrecht.","","Y","N","Y"
"Ispra Courses Nuclear Engrg. Tech.","Ispra Courses on Nuclear Engineering and Technology","","Harwood Academic Publ., Chur.","","Y","N","Y"
"Ispra Courses Reliab. Risk Anal.","Ispra Courses on Reliability and Risk Analysis","","Reidel, Dordrecht.","","Y","N","Y"
"Israel J. Math.","Israel Journal of Mathematics","","Magnes Press, Jerusalem.","0021-2172","N","Y","N"
"Israel Math. Conf. Proc.","Israel Mathematical Conference Proceedings","","Bar-Ilan Univ., Ramat Gan.","","N","N","Y"
"Israel Math. Conf. Proc.","Israel Mathematical Conference Proceedings","","Weizmann, Jerusalem.","","N","N","Y"
"Issled. Prikl. Mat. Inform.","Issledovaniya po Prikladnoi Matematike i Informatike","","Izdat. Kazan. Mat. Obs., Kazan.","","N","N","N"
"Issues Math. Ed.","Issues in Mathematics Education","","Amer. Math. Soc., Providence, RI.","1047-398X","Y","N","Y"
"Issues Subj. Teach. Ser.","Issues in Subject Teaching Series","","RoutledgeFalmer, London.","","Y","N","Y"
"Istanb. Univ. Sci. Fac. J. Math. Phys. Astronom.","Istanbul University. Science Faculty. The Journal of Mathematics, Physics and Astronomy","","Istanb. Univ., Fen Fak., Dergi Ed. Kurulu, Istanbul.","1300-0713","N","Y","N"
"Istatistik","Istatistik. Journal of the Turkish Statistical Association","","Turk. Stat. Assoc., Izmir.","1300-4077","N","N","N"
"Itogi Nauki Tekh. Ser. Sovrem. Mat. Prilozh. Temat. Obz.","Itogi Nauki i Tekhniki. Seriya Sovremennaya Matematika i ee Prilozheniya. Tematicheskie Obzory","Progress in Science and Technology. Series on Contemporary Mathematics and its Applications. Thematic Surveys","Vseross. Inst. Nauchn. i Tekhn. Inform. (VINITI), Moscow.","0233-6723","N","N","Y"
"Itogi Nauki. Yug Ross. Ser. Mat. Monogr.","Itogi Nauki. Yug Rossii. Matematicheskaya Monografiya","Progress in Science. South Russia. Mathematical Monograph","YuMI VNTs RAN i RSO-A, Vladikavkaz.","","N","N","Y"
"IUCr Texts Crystallogr.","IUCr Texts on Crystallography","","Oxford Univ. Press, Oxford.","","N","N","Y"
"IUTAM Bookser.","IUTAM Bookseries","","Springer, Dordrecht.","1875-3507","N","N","Y"
"Iwanami Ser. Mod. Math.","Iwanami Series in Modern Mathematics","","Amer. Math. Soc., Providence, RI.","","N","N","Y"
"Izdan. Bibl.","Izdanja Biblioteke","Library Publications","Srpska Akad. Nauk. i Umetnost., Belgrade.","","Y","N","Y"
"Izv. Inst. Mat. Inform.","Izvestiya Instituta Matematiki i Informatiki","","Udmurt. Gos. Univ., Izhevsk.","2226-3594","N","N","N"
"Izv. Irkutsk. Gos. Univ. Ser. Mat.","Izvestiya Irkutskogo Gosudarstvennogo Universiteta. Seriya Matematika","","Irkutsk. Gos. Univ., Irkutsk.","1997-7670","Y","N","N"
"Izv. Math.","Izvestiya. Mathematics","","Russ. Acad. Sci., Moscow.","1064-5632","N","N","N"
"Izv. Nats. Akad. Nauk Armen. Mekh.","Izvestiya Natsionalnoi Akademii Nauk Armenii. Mekhanika. Proceedings of National Academy of Sciences of Armenia. Mechanics","","Idzat. Nats. Akad. Nauk Armen., Erevan.","0002-3051","N","N","N"
"Izv. Nats. Akad. Nauk Armenii Mat.","Natsionalnaya Akademiya Nauk Armenii. Izvestiya. Matematika","","Idzat. Nats. Akad. Nauk Armen., Erevan.","0002-3043","N","Y","N"
"Izv. Nats. Akad. Nauk Resp. Kaz. Ser. Fiz.-Mat.","Izvestiya Natsionalnoi Akademii Nauk Respubliki Kazakhstan. Seriya Fiziko-Matematicheskaya","","Nats. Akad. Nauk Resp. Kaz., Almaty.","1991-346X","N","N","N"
"Izv. Ross. Akad. Nauk Mekh. Zhidk. Gaza","Rossiiskaya Akademiya Nauk. Izvestiya. Mekhanika Zhidkosti i Gaza","","``Nauka'', Moscow.","0568-5281","N","N","N"
"Izv. Ross. Akad. Nauk Ser. Mat.","Rossiiskaya Akademiya Nauk. Izvestiya. Seriya Matematicheskaya","","``Nauka'', Moscow.","1607-0046","N","Y","N"
"Izv. Ross. Akad. Nauk Teor. Sist. Upr.","Izvestiya Rossiiskoi Akademii Nauk. Teoriya i Sistemy Upravleniya","","``Nauka'', Moscow.","0002-3388","N","N","N"
"Izv. Sarat. Univ. (N.S.) Ser. Mat. Mekh. Inform.","Izvestiya Saratovskogo Universiteta. Novaya Seriya. Seriya. Matematika. Mekhanika. Informatika","","Saratov. Nats. Issled. Gos. Univ. imeni N. G. Chernyshevskogo, Saratov.","1816-9791","N","N","N"
"Izv. Vyssh. Uchebn. Zaved. Mat.","Izvestiya Vysshikh Uchebnykh Zavedenii. Matematika. Kazanskii Gosudarstvennyi Universitet","","Izdat. Kazan. Gos. Univ., Kazan.","0021-3446","N","Y","N"
"J. Abstr. Differ. Equ. Appl.","Journal of Abstract Differential Equations and Applications","","Math. Res. Publ., Washington, DC.","2158-611X","N","N","N"
"J. ACM","Journal of the ACM","","ACM, New York.","0004-5411","N","Y","N"
"J. Adv. Math. Stud.","Journal of Advanced Mathematical Studies","","Fair Partn. Publ., Bucharest.","2065-3506","N","N","N"
"J. Adv. Stud. Topol.","Journal of Advanced Studies in Topology","","Mod. Sci. Publ., Qena.","2090-8288","N","N","N"
"J. Agric. Biol. Environ. Stat.","Journal of Agricultural, Biological, and Environmental Statistics","","Springer, New York.","1085-7117","N","N","N"
"J. Algebr. Stat.","Journal of Algebraic Statistics","","J. Algebr. Stat., Chicago, IL.","1309-3452","N","Y","N"
"J. Algebr. Syst.","Journal of Algebraic Systems","","Shahrood Univ. Technol., Shahroud.","2345-5128","N","N","N"
"J. Algebra","Journal of Algebra","","Elsevier, Inc., Amsterdam.","0021-8693","N","Y","N"
"J. Algebra Appl.","Journal of Algebra and its Applications","","World Sci. Publ., Singapore.","0219-4988","N","Y","N"
"J. Algebra Comb. Discrete Struct. Appl.","Journal of Algebra Combinatorics Discrete Structures and Applications","","Yildiz Tech. Univ., Istanbul.","2148-838X","N","Y","N"
"J. Algebra Comput. Appl.","Journal of Algebra and Computational Applications","","Ilirias Publ., Pristina.","2217-6764","N","N","N"
"J. Algebra Relat. Topics","Journal of Algebra and Related Topics","","Univ. Guilan, Rasht.","2345-3931","N","N","N"
"J. Algebraic Combin.","Journal of Algebraic Combinatorics. An International Journal","","Springer, New York.","0925-9899","N","Y","N"
"J. Algebraic Geom.","Journal of Algebraic Geometry","","Univ. Press, Hong Kong.","1056-3911","N","Y","N"
"J. Algorithms Comput. Technol.","Journal of Algorithms & Computational Technology","","Sage, Thousand Oaks, CA.","1748-3018","N","N","N"
"J. Amer. Math. Soc.","Journal of the American Mathematical Society","","Amer. Math. Soc., Providence, RI.","0894-0347","N","Y","N"
"J. Amer. Statist. Assoc.","Journal of the American Statistical Association","","Amer. Statist. Assoc., Alexandria, VA.","0162-1459","N","N","N"
"J. Anal.","The Journal of Analysis","","Springer, Singapore.","0971-3611","N","Y","N"
"J. Anal. Appl.","Journal of Analysis and Applications","","SAS Int. Publ., Delhi.","0972-5954","N","Y","N"
"J. Anal. Math.","Journal d'Analyse Mathematique","","Magnes Press, Jerusalem.","0021-7670","N","Y","N"
"J. Anhui Univ. Nat. Sci.","Journal of Anhui University. Natural Science Edition. Anhui Daxue Xuebao. Ziran Kexue Ban","","Anhui Univ. Ed. Dept. Jl., Hefei.","1000-2162","N","N","N"
"J. Appl. Anal.","Journal of Applied Analysis","","De Gruyter, Berlin.","1425-6908","N","Y","N"
"J. Appl. Anal. Comput.","The Journal of Applied Analysis and Computation","","Wilmington Sci. Publ., Wilmington, NC.","2156-907X","N","N","N"
"J. Appl. Comput. Topol.","Journal of Applied and Computational Topology","","Springer, Berlin.","2367-1726","Y","N","N"
"J. Appl. Econometrics","Journal of Applied Econometrics","","Wiley, Chichester.","0883-7252","N","N","N"
"J. Appl. Funct. Anal.","Journal of Applied Functional Analysis","","Eudoxus Press, Cordova, TN.","1559-1948","N","N","N"
"J. Appl. Ind. Math.","Journal of Applied and Industrial Mathematics","","MAIK Nauka/Interperiod. Publ., Moscow.","1990-4789","N","N","N"
"J. Appl. Math.","Journal of Applied Mathematics","","Hindawi, London.","1110-757X","N","N","N"
"J. Appl. Math. Anal. Appl.","Journal of Applied Mathematical Analysis and Applications","","Ser. Publ., New Delhi.","0973-3884","N","N","N"
"J. Appl. Math. Comput.","Journal of Applied Mathematics and Computing","","Springer, Berlin.","1598-5865","N","Y","N"
"J. Appl. Math. Comput. Mech.","Journal of Applied Mathematics and Computational Mechanics","","Wydawnictwo Politechniki Czestochowskiej, Czestochowa.","2299-9965","N","N","N"
"J. Appl. Math. Inform.","Journal of Applied Mathematics & Informatics","","Korean Soc. Comput. Appl. Math., Asan.","1598-5857","N","N","N"
"J. Appl. Math. Mech.","Journal of Applied Mathematics and Mechanics","","Elsevier, Oxford.","0021-8928","N","N","N"
"J. Appl. Math. Stat. Inform.","Journal of Applied Mathematics, Statistics and Informatics","","Sciendo, Warsaw.","1336-9180","N","N","N"
"J. Appl. Mech. Tech. Phys.","Journal of Applied Mechanics and Technical Physics","","Pleiades Publishing, Ltd., Road Town.","0021-8944","N","N","N"
"J. Appl. Non-Class. Log.","Journal of Applied Non-Classical Logics","","Taylor & Francis, Basingstoke.","1166-3081","N","Y","N"
"J. Appl. Nonlinear Dyn.","Journal of Applied Nonlinear Dynamics","","L & H Scientific Publishing, Glen Carbon, IL.","2164-6457","N","N","N"
"J. Appl. Probab.","Journal of Applied Probability","","Appl. Probab. Trust, Sheffield.","0021-9002","N","Y","N"
"J. Appl. Stat.","Journal of Applied Statistics","","Taylor & Francis, Abingdon.","0266-4763","N","N","N"
"J. Approx. Theory","Journal of Approximation Theory","","Elsevier, Inc., San Diego, CA.","0021-9045","N","Y","N"
"J. Artificial Intelligence Res.","Journal of Artificial Intelligence Research","","AI Access Found., El Segundo, CA.","1076-9757","N","N","N"
"J. Assam Acad. Math.","Journal of the Assam Academy of Mathematics (JAAM)","","Assam Acad. Math., Guwahati.","2229-3884","N","N","N"
"J. Aust. Math. Soc.","Journal of the Australian Mathematical Society","","Cambridge Univ. Press, Cambridge.","1446-7887","N","Y","N"
"J. Autom. Lang. Comb.","Journal of Automata, Languages and Combinatorics","","Justus-Liebig-Univ. Giessen, Inst. Inform., Giessen.","1430-189X","N","N","N"
"J. Automat. Reason.","Journal of Automated Reasoning","","Springer, Dordrecht.","0168-7433","N","N","N"
"J. Beijing Normal Univ. (Natur. Sci.)","","","","","Y","N","N"
"J. Beijing Univ. Technol.","Journal of Beijing University of Technology. Beijing Gongye Daxue Xuebao","","J. Beijing Univ. Tech., Editor. Off., Beijing.","0254-0037","N","N","N"
"J. Bihar Math. Soc.","Bihar Mathematical Society. Journal","","Bihar Math. Soc., Bhagalpur.","0972-8716","N","N","N"
"J. Biol. Dyn.","Journal of Biological Dynamics","","Taylor & Francis, Abingdon.","1751-3758","N","N","N"
"J. Biol. Systems","Journal of Biological Systems","","World Sci. Publishing, Singapore.","0218-3390","N","N","N"
"J. Biomath.","Journal of Biomathematics. Shengwu Shuxue Xuebao","","Sci. Press Beijing, Beijing.","1001-9626","N","N","N"
"J. Bus. Econom. Statist.","Journal of Business & Economic Statistics","","Amer. Statist. Assoc., Alexandria, VA.","0735-0015","N","N","N"
"J. Cell. Autom.","Journal of Cellular Automata","","Old City Publ., Philadelphia, PA.","1557-5969","N","N","N"
"J. Cent. China Norm. Univ. Nat. Sci.","Journal of Central China Normal University. Natural Sciences","","J. Central China Normal Univ., Editor. Dept., Wuchang.","1000-1190","N","N","N"
"J. Chungcheong Math. Soc.","Journal of the Chungcheong Mathematical Society","","Chungcheong Mathematical Society, Daejeon.","1226-3524","N","N","N"
"J. Class. Anal.","Journal of Classical Analysis","","ELEMENT, Zagreb.","1848-5979","N","Y","N"
"J. Classification","Journal of Classification","","Springer, New York.","0176-4268","N","N","N"
"J. Comb.","Journal of Combinatorics","","Int. Press, Somerville, MA.","2156-3527","N","Y","N"
"J. Comb. Algebra","Journal of Combinatorial Algebra","","Eur. Math. Soc., Zurich.","2415-6302","N","Y","N"
"J. Comb. Inf. Syst. Sci.","Journal of Combinatorics, Information & System Sciences","","Prints Publ. Pvt., Ltd., New Delhi.","0250-9628","N","N","N"
"J. Comb. Number Theory","Journal of Combinatorics and Number Theory","","Nova Sci. Publ., Hauppauge, NY.","1942-5600","N","Y","N"
"J. Comb. Optim.","Journal of Combinatorial Optimization","","Springer, Norwell, MA.","1382-6905","N","Y","N"
"J. Combin. Des.","Journal of Combinatorial Designs","","Wiley, Hoboken, NJ.","1063-8539","N","Y","N"
"J. Combin. Math. Combin. Comput.","Journal of Combinatorial Mathematics and Combinatorial Computing","","Charles Babbage Res. Centre, Winnipeg, MB.","0835-3026","N","Y","N"
"J. Combin. Theory Ser. A","Journal of Combinatorial Theory. Series A","","Elsevier, Inc., Amsterdam.","0097-3165","N","Y","N"
"J. Combin. Theory Ser. B","Journal of Combinatorial Theory. Series B","","Elsevier, Inc., Amsterdam.","0095-8956","N","Y","N"
"J. Commut. Algebra","Journal of Commutative Algebra","","Rocky Mountain Math. Consortium, Tempe, AZ.","1939-0807","N","Y","N"
"J. Complex Netw.","Journal of Complex Networks","","Oxford Univ. Press, Oxford.","2051-1310","N","N","N"
"J. Complexity","Journal of Complexity","","Elsevier, Inc., San Diego, CA.","0885-064X","N","Y","N"
"J. Comput. Anal. Appl.","Journal of Computational Analysis and Applications","","Eudoxus Press, Cordova, TN.","1521-1398","N","N","N"
"J. Comput. Appl. Math.","Journal of Computational and Applied Mathematics","","Elsevier Sci. B. V., Amsterdam.","0377-0427","N","Y","N"
"J. Comput. Biol.","Journal of Computational Biology","","Liebert, New Rochelle, NY.","1066-5277","N","N","N"
"J. Comput. Dyn.","Journal of Computational Dynamics","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","2158-2491","N","N","N"
"J. Comput. Eng. Math.","Journal of Computational and Engineering Mathematics","","South Ural State Univ., Chelyabinsk.","2313-8106","N","N","N"
"J. Comput. Finance","Journal of Computational Finance","","Incisive Media, London.","1460-1559","N","N","N"
"J. Comput. Geom.","Journal of Computational Geometry","","Carleton Univ., Comput. Geom. Lab, Ottawa, ON.","1920-180X","N","N","N"
"J. Comput. Graph. Statist.","Journal of Computational and Graphical Statistics","","Amer. Statist. Assoc., Alexandria, VA.","1061-8600","N","N","N"
"J. Comput. Math.","Journal of Computational Mathematics","","Chinese Acad. Sci.. Acad. Math. Syst. Sci., Beijing.","0254-9409","N","Y","N"
"J. Comput. Multiph. Flows","Journal of Computational Multiphase Flows","","Sage, Thousand Oaks, CA.","1757-482X","N","N","N"
"J. Comput. Neurosci.","Journal of Computational Neuroscience","","Springer, New York.","0929-5313","N","N","N"
"J. Comput. Phys.","Journal of Computational Physics","","Elsevier, Amsterdam.","0021-9991","N","N","N"
"J. Comput. Sci.","Journal of Computational Science","","Elsevier Sci. B. V., Amsterdam.","1877-7503","N","N","N"
"J. Comput. Sci. Appl. Math.","Journal of Computer Science and Applied Mathematics","","Res. Publ., [place of publication not identified].","1857-9582","N","N","N"
"J. Comput. Sci. Tech.","Journal of Computer Science and Technology","","Sci. Press Beijing, Beijing.","1000-9000","N","N","N"
"J. Comput. Syst. Sci. Int.","Journal of Computer and Systems Sciences International","","Pleiades Publishing, Ltd., Road Town.","1064-2307","N","N","N"
"J. Comput. System Sci.","Journal of Computer and System Sciences","","Elsevier, Inc., Amsterdam.","0022-0000","N","Y","N"
"J. Comput. Theor. Transp.","Journal of Computational and Theoretical Transport","","Taylor & Francis, Basingstoke.","2332-4309","N","N","N"
"J. Concr. Appl. Math.","Journal of Concrete and Applicable Mathematics","","Eudoxus Press, Cordova, TN.","1548-5390","N","N","N"
"J. Contemp. Math. Anal.","Journal of Contemporary Mathematical Analysis","","Allerton Press, New York.","1068-3623","N","N","N"
"J. Control Decis.","Journal of Control and Decision","","Taylor & Francis, Abingdon.","2330-7706","N","N","N"
"J. Control Sci. Eng.","Journal of Control Science and Engineering","","Hindawi, London.","1687-5249","N","N","N"
"J. Convex Anal.","Journal of Convex Analysis","","Heldermann, Lemgo.","0944-6532","N","Y","N"
"J. Cosmol. Astropart. Phys.","Journal of Cosmology and Astroparticle Physics","","Inst. Phys., Bristol.","1475-7516","N","N","N"
"J. Cryptology","Journal of Cryptology. The Journal of the International Association for Cryptologic Research","","Springer, New York.","0933-2790","N","N","N"
"J. Dalian Univ. Technol.","Journal of Dalian University of Technology. Dalian Ligon Daxue Xuebao","","J. Dalian Univ. Tech., Editor. Office, Dalian.","1000-8608","N","N","N"
"J. Difference Equ. Appl.","Journal of Difference Equations and Applications","","Taylor & Francis, Abingdon.","1023-6198","N","Y","N"
"J. Differential Equations","Journal of Differential Equations","","Elsevier B. V., Amsterdam.","0022-0396","N","Y","N"
"J. Differential Geom.","Journal of Differential Geometry","","Lehigh Univ., Bethlehem, PA.","0022-040X","N","Y","N"
"J. Discrete Algorithms","Journal of Discrete Algorithms","","Elsevier B. V., Amsterdam.","1570-8667","N","Y","N"
"J. Discrete Math. Sci. Cryptogr.","Journal of Discrete Mathematical Sciences and Cryptography","","Taylor & Francis, Abingdon.","0972-0529","N","N","N"
"J. Dyn. Control Syst.","Journal of Dynamical and Control Systems","","Springer, New York.","1079-2724","N","Y","N"
"J. Dyn. Games","Journal of Dynamics and Games","","Am. Inst. Math. Sci. (AIMS), Springfield, MO.","2164-6066","N","N","N"
"J. Dyn. Syst. Geom. Theor.","Journal of Dynamical Systems and Geometric Theories","","Taylor & Francis, Abingdon.","1726-037X","N","N","N"
"J. Dynam. Differential Equations","Journal of Dynamics and Differential Equations","","Springer, New York.","1040-7294","N","Y","N"
"J. East China Norm. Univ. Natur. Sci. Ed.","Journal of East China Normal University. Natural Science Edition. Huadong Shifan Daxue Xuebao. Ziran Kexue Ban","","J. East China Norm. Univ., Editor. Off., Shanghai.","1000-5641","N","N","N"
"J. Ec. polytech. Math.","Journal de l'Ecole polytechnique. Mathematiques","","Universite Paris - Saclay, Ecole Polytechnique, Palaiseau.","2429-7100","N","Y","N"
